net,length_um
_0575_,35.4
_0355_,34.28
A2[2],29.07
_0480_,26.76
_0466_,20.4
A1[0],20.16
A1[2],19.5
A3[4],17
A2[4],16.74
A2[3],15.82
A3[1],12.98
WD3[2],12.4
A2[0],12.14
WD3[0],11.48
A3[3],11.14
A1[3],10.76
A1[4],10.76
A1[1],10.42
A3[0],10.1
WD3[1],9.18
_0139_,8.855
WD3[3],8.72
inputA[0],8.63
A3[2],8.38
WE3,8.1
inputB[1],7.57
inputA[1],7.18
inputA[2],7.18
inputA[3],7.18
inputB[3],7.18
opcode[0],7.18
RD1[2],7.01
inputB[0],6.72
inputB[2],6.72
opcode[1],6.72
RD1[1],5.65
RD1[0],5.31
RD1[3],5.31
RD2[0],5.31
RD2[1],5.31
RD2[2],5.31
RD2[3],5.31
outputC[0],5.31
outputC[1],5.31
outputC[2],5.31
outputC[3],5.31
